sample	unit	fq1	fq2	readlen	desiree_layers	desiree_layers_geno	rp_layer_geno	rp_layers
BB_53	BORD_00052	BORD_00052.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_54	BORD_00053	BORD_00053.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_55	BORD_00054	BORD_00054.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_56	BORD_00055	BORD_00055.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_57	BORD_00056	BORD_00056.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_58	BORD_00057	BORD_00057.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_59	BORD_00058	BORD_00058.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_6	BORD_00006	BORD_00006.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_60	BORD_00059	BORD_00059.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_61	BORD_00060	BORD_00060.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_63	BORD_00061	BORD_00061.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_64	BORD_00062	BORD_00062.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_65	BORD_00063	BORD_00063.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_66	BORD_00064	BORD_00064.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_67	BORD_00065	BORD_00065.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_68	BORD_00066	BORD_00066.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_69	BORD_00067	BORD_00067.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_7	BORD_00007	BORD_00007.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_70	BORD_00068	BORD_00068.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_71	BORD_00069	BORD_00069.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_72	BORD_00070	BORD_00070.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_73	BORD_00071	BORD_00071.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_74	BORD_00072	BORD_00072.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_75	BORD_00073	BORD_00073.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_76	BORD_00074	BORD_00074.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_77	BORD_00075	BORD_00075.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_78	BORD_00076	BORD_00076.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_79	BORD_00077	BORD_00077.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_8	BORD_00008	BORD_00008.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_80	BORD_00078	BORD_00078.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
BB_81	BORD_00079	BORD_00079.fq.gz	NaN	short	FALSE	FALSE	TRUE	FALSE
